,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_period_by_year,num_services,charge_group
48,m,0,Yes,Yes,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.99,524.75,No,2 - 4 year,2,Low
49,m,0,No,Yes,16.0,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,One year,No,Mailed check,79.64,1274.24,No,1 - 2 year,3,Medium
50,f,0,No,Yes,2.0,Yes,Yes,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),30.05,60.1,No,0 - 1 year,2,Low
51,m,0,No,No,31.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.16,965.96,No,2 - 4 year,1,Low
52,m,1,Yes,Yes,65.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,28.35,1842.75,No,4+ years,5,Low
53,f,1,No,No,14.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1384.42,19381.88,Yes,1 - 2 year,5,Very High
54,f,0,No,No,45.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,21.97,988.65,No,2 - 4 year,1,Low
55,unkown,0,No,Yes,999.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,46.13,46083.87,Yes,4+ years,2,Low
56,m,0,No,No,10.0,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,20.05,200.5,Yes,0 - 1 year,1,Low
57,m,0,Yes,No,19.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),26.62,505.78,No,1 - 2 year,5,Low
58,f,0,Yes,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Two year,Yes,Electronic check,32.0,1376.0,No,2 - 4 year,3,Low
59,f,0,Yes,Yes,42.0,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,42.09,1767.78,Yes,2 - 4 year,3,Low
60,m,0,No,No,9.0,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),98.68,888.12,No,0 - 1 year,1,Medium
61,m,0,Yes,No,13.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),100.45,1305.85,No,1 - 2 year,3,High
62,m,0,No,No,32.0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),24.44,782.08,No,2 - 4 year,4,Low
63,m,0,Yes,No,17.0,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,One year,Yes,Electronic check,80.1,1361.7,No,1 - 2 year,1,Medium
64,f,0,Yes,Yes,19.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),41.59,790.21,Yes,1 - 2 year,2,Low
65,f,0,Yes,No,38.0,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),43.94,1669.72,Yes,2 - 4 year,3,Low
66,m,1,No,Yes,10.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.55,475.5,Yes,0 - 1 year,3,Low
67,m,0,No,Yes,5.0,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,79.33,396.65,No,0 - 1 year,1,Medium
68,f,0,Yes,Yes,22.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.01,616.22,Yes,1 - 2 year,0,Low
69,m,0,No,No,23.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,19.18,441.14,Yes,1 - 2 year,2,Low
70,m,0,No,No,26.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.37,867.62,Yes,2 - 4 year,1,Low
71,f,0,Yes,No,71.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,22.95,1629.45,Yes,4+ years,3,Low
72,f,0,No,No,47.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.45,2230.15,Yes,2 - 4 year,2,Low
73,m,0,No,No,17.0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),30.7,521.9,Yes,1 - 2 year,4,Low
74,f,0,No,No,36.0,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,43.51,1566.36,No,2 - 4 year,3,Low
75,f,0,Yes,No,47.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.92,983.24,No,2 - 4 year,1,Low
76,f,0,No,No,11.0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,81.44,895.84,Yes,0 - 1 year,3,Medium
77,f,0,Yes,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),48.2,1976.2,No,2 - 4 year,1,Low
78,m,0,Yes,Yes,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.59,606.98,No,1 - 2 year,1,Low
79,f,0,No,No,14.0,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),23.47,328.58,Yes,1 - 2 year,2,Low
80,m,0,No,Yes,5.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,99.35,0.0,No,0 - 1 year,3,Medium
81,f,0,No,No,24.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,38.22,917.28,Yes,1 - 2 year,4,Low
82,f,0,No,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,53.92,485.28,Yes,0 - 1 year,2,Medium
83,m,0,Yes,Yes,3.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),37.81,113.43,Yes,0 - 1 year,3,Low
84,m,0,No,No,20.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),93.54,1870.8,No,1 - 2 year,1,Medium
85,m,0,Yes,No,11.0,Yes,unkown,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.79,272.69,Yes,0 - 1 year,1,Low
86,f,1,No,No,14.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,unkown,37.44,524.16,Yes,1 - 2 year,1,Low
87,m,1,No,No,23.0,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,45.37,1043.51,No,1 - 2 year,3,Low
88,m,0,No,No,21.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,68.4,1436.4,No,1 - 2 year,2,Medium
89,f,0,No,Yes,26.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,66.57,1730.82,Yes,2 - 4 year,2,Medium
90,f,1,Yes,No,33.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,99.06,3268.98,No,2 - 4 year,3,Medium
91,f,1,No,Yes,38.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),90.74,3448.12,No,2 - 4 year,3,Medium
92,f,0,No,Yes,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.57,1095.7,Yes,0 - 1 year,1,High
93,f,0,No,No,2.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,44.5,89.0,No,0 - 1 year,2,Low
94,m,0,Yes,No,41.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,20.27,831.07,Yes,2 - 4 year,3,Low
95,m,0,No,No,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.9,1345.0,No,4+ years,1,Low
96,f,0,No,No,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.69,567.87,No,1 - 2 year,1,Low
97,f,0,No,No,15.0,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),32.71,490.65,Yes,1 - 2 year,3,Low
98,f,0,No,No,6.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.5,135.0,No,0 - 1 year,2,Low
99,f,0,Yes,No,23.0,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Mailed check,39.09,899.07,No,1 - 2 year,2,Low
100,f,0,Yes,Yes,6.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.88,119.28,Yes,0 - 1 year,2,Low
101,f,0,No,Yes,23.0,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,46.34,1065.82,No,1 - 2 year,1,Low
102,f,1,No,No,28.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),48.96,1370.88,Yes,2 - 4 year,1,Low
103,m,0,Yes,No,12.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),35.53,426.36,Yes,0 - 1 year,2,Low
104,f,0,No,Yes,39.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,42.81,1669.59,No,2 - 4 year,2,Low
105,f,0,No,No,11.0,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Two year,Yes,unkown,18.39,202.29,No,0 - 1 year,2,Low
106,m,0,No,No,31.0,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,34.95,1083.45,No,2 - 4 year,2,Low
107,m,0,Yes,No,42.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.34,1148.28,No,2 - 4 year,2,Low
108,m,0,Yes,No,32.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.7,1654.4,Yes,2 - 4 year,2,Medium
109,f,0,Yes,Yes,21.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,unkown,25.91,544.11,No,1 - 2 year,0,Low
110,m,0,Yes,No,32.0,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),33.35,1067.2,No,2 - 4 year,2,Low
111,f,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,107.81,5067.07,No,2 - 4 year,2,High
112,f,0,Yes,No,11.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,37.47,412.17,Yes,0 - 1 year,2,Low
113,m,0,No,Yes,29.0,No,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Two year,Yes,Electronic check,41.41,1200.89,No,2 - 4 year,1,Low
114,f,1,No,Yes,24.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,55.0,1320.0,Yes,1 - 2 year,2,Medium
115,f,0,No,No,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.76,1194.0,Yes,2 - 4 year,2,Low
116,f,1,Yes,No,22.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.45,405.9,Yes,1 - 2 year,2,Low
117,m,0,No,Yes,8.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),18.68,149.44,No,0 - 1 year,4,Low
118,m,0,Yes,No,30.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,45.2,1356.0,No,2 - 4 year,3,Low
119,f,0,Yes,No,48.0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,42.55,2042.4,No,2 - 4 year,4,Low
120,f,0,Yes,Yes,12.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),86.05,1032.6,Yes,0 - 1 year,2,Medium
121,m,0,No,No,10.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.27,462.7,Yes,0 - 1 year,1,Low
122,m,0,No,No,31.0,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,38.43,1191.33,Yes,2 - 4 year,1,Low
123,m,0,Yes,No,10.0,Yes,Yes,DSL,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),66.32,0.0,Yes,0 - 1 year,2,Medium
124,m,0,No,No,34.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),35.13,1194.42,Yes,2 - 4 year,3,Low
125,f,1,Yes,Yes,3.0,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Mailed check,88.78,266.34,No,0 - 1 year,1,Medium
126,f,0,Yes,Yes,46.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,45.97,2114.62,No,2 - 4 year,2,Low
127,m,0,Yes,Yes,12.0,Yes,No,DSL,No internet service,No,No,No,No,No,One year,Yes,Bank transfer (automatic),36.15,433.8,No,0 - 1 year,1,Low
128,m,1,No,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1072.54,41829.06,No,2 - 4 year,1,Very High
129,f,1,Yes,No,6.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,63.73,382.38,Yes,0 - 1 year,3,Medium
130,m,0,No,No,3.0,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,70.86,212.58,No,0 - 1 year,1,Medium
131,m,0,No,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.08,552.64,Yes,0 - 1 year,4,Medium
132,m,0,No,No,32.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.57,-64.03,No,2 - 4 year,3,Medium
133,m,0,Yes,Yes,18.0,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,59.23,1066.14,No,1 - 2 year,1,Medium
134,m,0,Yes,No,16.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,25.95,415.2,No,1 - 2 year,3,Low
135,f,0,No,Yes,17.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,101.02,1717.34,No,1 - 2 year,3,High
136,m,1,No,No,46.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,34.82,1601.72,No,2 - 4 year,3,Low
137,f,0,Yes,No,28.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),89.18,2497.04,No,2 - 4 year,3,Medium
138,m,1,No,No,29.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.41,1026.89,Yes,2 - 4 year,2,Low
139,m,0,Yes,Yes,11.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,28.72,315.92,No,0 - 1 year,2,Low
140,f,0,Yes,No,47.0,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,102.8,4831.6,Yes,2 - 4 year,0,High
141,m,0,No,Yes,27.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,One year,No,Electronic check,32.05,865.35,No,2 - 4 year,3,Low
142,m,0,Yes,No,65.0,No,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,46.8,3042.0,Yes,4+ years,0,Low
143,m,0,No,No,3.0,Yes,unkown,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,73.78,221.34,Yes,0 - 1 year,2,Medium
144,f,0,No,No,6.0,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,19.23,115.38,No,0 - 1 year,2,Low
145,f,0,No,No,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.72,499.56,No,1 - 2 year,2,Low
146,m,0,No,Yes,25.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,43.03,1075.75,No,2 - 4 year,2,Low
147,f,0,Yes,Yes,40.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,39.14,1565.6,No,2 - 4 year,3,Low
148,m,1,No,No,29.0,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.78,2806.62,Yes,2 - 4 year,3,Medium
149,f,0,No,No,52.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),98.75,5135.0,No,4+ years,3,Medium
150,f,0,No,No,45.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),43.34,1950.3,No,2 - 4 year,1,Low
151,m,0,Yes,Yes,20.0,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,113.2,2264.0,No,1 - 2 year,1,High
152,m,0,Yes,No,19.0,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,40.02,760.38,Yes,1 - 2 year,2,Low
153,m,0,No,Yes,10.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,unkown,29.91,299.1,No,0 - 1 year,3,Low
154,m,0,Yes,Yes,2.0,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),27.46,54.92,No,0 - 1 year,3,Low
155,m,0,Yes,No,13.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.67,528.71,No,1 - 2 year,5,Low
156,m,1,No,Yes,14.0,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),40.02,560.28,Yes,1 - 2 year,3,Low
157,f,0,No,Yes,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.67,705.41,Yes,1 - 2 year,1,Low
